request date,USD cash balance,EUR cash balance,Total cash balance in EUR,USD-EUR exchange rate,EUR-EUR exchange rate,USD deposits,EUR deposits,Total deposits in EUR,USD withdrawals,EUR withdrawals,Total withdrawals in EUR,USD investments,EUR investments,Total investment in EUR,Market value of the USD investments,Market value of the EUR investments,Total market value in EUR,P/L in USD,P/L in EUR,Total P/L in EUR
2016-02-25 21:00:00,-9998.134,,-9077.70578396,0.90794,,20000,,18158.8,0,,0,29974.28,,27214.8477832,39814.95,,36149.585703,19838.8,,18012.440072
2016-02-26 21:00:00,-9998.134,,-9068.60748202,0.90703,,20000,,18140.6,0,,0,29974.28,,27187.5711884,40309.9,,36562.288597,20333.75,,18443.3212625
2016-02-27 21:00:00,-9998.134,,-9152.49182628,0.91542,,20000,,18308.4,0,,0,29974.28,,27439.0553976,39814.19,,36446.7058098,19838.04,,18160.1385768
2016-02-28 21:00:00,-9998.134,,-9152.49182628,0.91542,,20000,,18308.4,0,,0,29974.28,,27439.0553976,39814.19,,36446.7058098,19838.04,,18160.1385768
2016-02-29 21:00:00,-9998.134,,-9152.49182628,0.91542,,20000,,18308.4,0,,0,29974.28,,27439.0553976,39814.19,,36446.7058098,19838.04,,18160.1385768
2016-03-01 21:00:00,-9998.134,,-9181.88634024,0.91836,,20000,,18367.2,0,,0,29974.28,,27527.1797808,42264.59,,38814.1088724,22288.44,,20468.8117584
2016-03-02 21:00:00,-9998.134,,-9192.88428764,0.91946,,20000,,18389.2,0,,0,29974.28,,27560.1514888,42957.9,,39498.070734,22981.75,,21130.799855
2016-03-03 21:00:00,-9998.134,,-9198.7831867,0.92005,,20000,,18401,0,,0,29974.28,,27577.836314,43585.64,,40100.968082,23609.49,,21721.9112745
2016-03-04 21:00:00,-9998.134,,-9131.59572622,0.91333,,20000,,18266.6,0,,0,29974.28,,27376.4091524,43719.05,,39929.9199365,23742.9,,21685.102857
2016-03-05 21:00:00,-9998.134,,-9094.20270506,0.90959,,20000,,18191.8,0,,0,29974.28,,27264.3053452,44273.56,,40270.7874404,24297.41,,22100.6811619
2016-03-06 21:00:00,-9998.134,,-9094.20270506,0.90959,,20000,,18191.8,0,,0,29974.28,,27264.3053452,44273.56,,40270.7874404,24297.41,,22100.6811619
2016-03-07 21:00:00,-9998.134,,-9094.20270506,0.90959,,20000,,18191.8,0,,0,29974.28,,27264.3053452,44273.56,,40270.7874404,24297.41,,22100.6811619
2016-03-08 21:00:00,-9998.134,,-9076.00610118,0.90777,,20000,,18155.4,0,,0,29974.28,,27209.7521556,42212.07,,38318.8507839,22235.92,,20185.1010984
2016-03-09 21:00:00,-9998.134,,-9085.90425384,0.90876,,20000,,18175.2,0,,0,29974.28,,27239.4266928,42799.84,,38894.7825984,22823.69,,20741.2565244
2016-03-10 21:00:00,-9998.134,,-9098.30194,0.91,,20000,,18200,0,,0,29974.28,,27276.5948,43002.86,,39132.6026,23026.71,,20954.3061
2016-03-11 21:00:00,-9998.134,,-8944.13071372,0.89458,,20000,,17891.6,0,,0,29974.28,,26814.3914024,44888.07,,40155.9696606,24911.92,,22285.7053936
2016-03-12 21:00:00,-9998.134,,-8952.52914628,0.89542,,20000,,17908.4,0,,0,29974.28,,26839.5697976,43988.07,,39387.7976394,24011.92,,21500.7534064
2016-03-13 21:00:00,-9998.134,,-8952.52914628,0.89542,,20000,,17908.4,0,,0,29974.28,,26839.5697976,43988.07,,39387.7976394,24011.92,,21500.7534064
2016-03-14 21:00:00,-9998.134,,-8952.52914628,0.89542,,20000,,17908.4,0,,0,29974.28,,26839.5697976,43988.07,,39387.7976394,24011.92,,21500.7534064
2016-03-15 21:00:00,-9998.134,,-9005.71921916,0.90074,,20000,,18014.8,0,,0,29974.28,,26999.0329672,43050.89,,38777.6586586,23074.74,,20784.3413076
2016-03-16 21:00:00,-9998.134,,-9000.02028278,0.90017,,20000,,18003.4,0,,0,29974.28,,26981.9476276,43342.23,,39015.3751791,23366.08,,21033.4442336
2016-03-17 21:00:00,-9998.134,,-8911.8367409,0.89135,,20000,,17827,0,,0,29974.28,,26717.574478,43605.97,,38868.1813595,23629.82,,21062.440057
2016-03-18 21:00:00,-9998.134,,-8833.8512957,0.88355,,20000,,17671,0,,0,29974.28,,26483.775094,45587.81,,40279.1095255,25611.66,,22629.182193
2016-03-19 21:00:00,-9998.134,,-8864.3456044,0.8866,,20000,,17732,0,,0,29974.28,,26575.196648,45811.23,,40616.236518,25835.08,,22905.381928
2016-03-20 21:00:00,-9998.134,,-8864.3456044,0.8866,,20000,,17732,0,,0,29974.28,,26575.196648,45811.23,,40616.236518,25835.08,,22905.381928
2016-03-21 21:00:00,-9998.134,,-8864.3456044,0.8866,,20000,,17732,0,,0,29974.28,,26575.196648,45811.23,,40616.236518,25835.08,,22905.381928
2016-03-22 21:00:00,-9998.134,,-8898.33926,0.89,,20000,,17800,0,,0,29974.28,,26677.1092,46245.71,,41158.6819,26269.56,,23379.9084
2016-03-23 21:00:00,-9998.134,,-8908.63733802,0.89103,,20000,,17820.6,0,,0,29974.28,,26707.9827084,44916.26,,40021.7351478,24940.11,,22222.3862133
2016-03-24 21:00:00,-9998.134,,-8942.03110558,0.89437,,20000,,17887.4,0,,0,29974.28,,26808.0968036,44911.08,,40167.1226196,24934.93,,22301.0533441
2016-03-25 21:00:00,-9998.134,,-8952.52914628,0.89542,,20000,,17908.4,0,,0,29974.28,,26839.5697976,44659.65,,39989.143803,24683.5,,22102.09957
2016-03-26 21:00:00,-9998.134,,-8958.92795204,0.89606,,20000,,17921.2,0,,0,29974.28,,26858.7533368,44659.65,,40017.725979,24683.5,,22117.89701
2016-03-27 21:00:00,-9998.134,,-8958.92795204,0.89606,,20000,,17921.2,0,,0,29974.28,,26858.7533368,44659.65,,40017.725979,24683.5,,22117.89701
2016-03-28 21:00:00,-9998.134,,-8958.92795204,0.89606,,20000,,17921.2,0,,0,29974.28,,26858.7533368,44659.65,,40017.725979,24683.5,,22117.89701
2016-03-29 21:00:00,-9998.134,,-8924.73433376,0.89264,,20000,,17852.8,0,,0,29974.28,,26756.2412992,44423.39,,39654.0948496,24447.24,,21822.5843136
2016-03-30 21:00:00,-9998.134,,-8854.14750772,0.88558,,20000,,17711.6,0,,0,29974.28,,26544.6228824,43927.97,,38901.7316726,23951.82,,21211.2527556
2016-03-31 21:00:00,-9998.134,,-8820.8537215,0.88225,,20000,,17645,0,,0,29974.28,,26444.80853,44328.47,,39108.7926575,24352.32,,21484.83432
2016-04-01 21:00:00,-9998.134,,-8785.96023384,0.87876,,20000,,17575.2,0,,0,29974.28,,26340.1982928,44287.53,,38918.1098628,24311.38,,21363.8682888
2016-04-02 21:00:00,-9998.134,,-8777.96172664,0.87796,,20000,,17559.2,0,,0,29974.28,,26316.2188688,44060.21,,38683.1019716,24084.06,,21144.8413176
2016-04-03 21:00:00,-9998.134,,-8777.96172664,0.87796,,20000,,17559.2,0,,0,29974.28,,26316.2188688,44060.21,,38683.1019716,24084.06,,21144.8413176
2016-04-04 21:00:00,-9998.134,,-8777.96172664,0.87796,,20000,,17559.2,0,,0,29974.28,,26316.2188688,44060.21,,38683.1019716,24084.06,,21144.8413176
2016-04-05 21:00:00,-9998.134,,-8778.76157736,0.87804,,20000,,17560.8,0,,0,29974.28,,26318.6168112,42610.22,,37413.4775688,22634.07,,19873.6188228
2016-04-06 21:00:00,-9998.134,,-8784.16056972,0.87858,,20000,,17571.6,0,,0,29974.28,,26334.8029224,43023.28,,37799.3933424,23047.13,,20248.7474754
2016-04-07 21:00:00,-9998.134,,-8766.46387254,0.87681,,20000,,17536.2,0,,0,29974.28,,26281.7484468,41524.38,,36408.9916278,21548.23,,18893.7035463
2016-04-08 21:00:00,-9998.134,,-8790.3594128,0.8792,,20000,,17584,0,,0,29974.28,,26353.386976,41678.31,,36643.570152,21702.16,,19080.539072
2016-04-09 21:00:00,-9998.134,,-8767.96359264,0.87696,,20000,,17539.2,0,,0,29974.28,,26286.2445888,42209.39,,37015.9466544,22233.24,,19497.6621504
2016-04-10 21:00:00,-9998.134,,-8767.96359264,0.87696,,20000,,17539.2,0,,0,29974.28,,26286.2445888,42209.39,,37015.9466544,22233.24,,19497.6621504
2016-04-11 21:00:00,-9998.134,,-8767.96359264,0.87696,,20000,,17539.2,0,,0,29974.28,,26286.2445888,42209.39,,37015.9466544,22233.24,,19497.6621504
2016-04-12 21:00:00,-9998.134,,-8760.3650108,0.8762,,20000,,17524,0,,0,29974.28,,26263.464136,42653.96,,37373.399752,22677.81,,19870.297122
2016-04-13 21:00:00,-9998.134,,-8781.8609989,0.87835,,20000,,17567,0,,0,29974.28,,26327.908838,44161.2,,38788.99002,24185.05,,21242.9386675
2016-04-14 21:00:00,-9998.134,,-8864.3456044,0.8866,,20000,,17732,0,,0,29974.28,,26575.196648,43776.1,,38811.89026,23799.95,,21101.03567
2016-04-15 21:00:00,-9998.134,,-8871.44427954,0.88731,,20000,,17746.2,0,,0,29974.28,,26596.4783868,43021.02,,38172.9812562,23044.87,,20447.9435997
2016-04-16 21:00:00,-9998.134,,-8847.94866464,0.88496,,20000,,17699.2,0,,0,29974.28,,26526.0388288,43573.01,,38560.3709296,23596.86,,20882.2772256
2016-04-17 21:00:00,-9998.134,,-8847.94866464,0.88496,,20000,,17699.2,0,,0,29974.28,,26526.0388288,43573.01,,38560.3709296,23596.86,,20882.2772256
2016-04-18 21:00:00,-9998.134,,-8847.94866464,0.88496,,20000,,17699.2,0,,0,29974.28,,26526.0388288,43573.01,,38560.3709296,23596.86,,20882.2772256
2016-04-19 21:00:00,-9998.134,,-8840.8499895,0.88425,,20000,,17685,0,,0,29974.28,,26504.75709,44079.4,,38977.20945,24103.25,,21313.2988125
2016-04-20 21:00:00,-9998.134,,-8801.45734154,0.88031,,20000,,17606.2,0,,0,29974.28,,26386.6584268,45553.89,,40101.5449059,25577.74,,22516.3402994
2016-04-21 21:00:00,-9998.134,,-8843.94941104,0.88456,,20000,,17691.2,0,,0,29974.28,,26514.0491168,45482.3,,40231.823288,25506.15,,22561.720044
2016-04-22 21:00:00,-9998.134,,-8854.14750772,0.88558,,20000,,17711.6,0,,0,29974.28,,26544.6228824,45832.07,,40587.9645506,25855.92,,22897.4856336
2016-04-23 21:00:00,-9998.134,,-8899.8389801,0.89015,,20000,,17803,0,,0,29974.28,,26681.605342,45501.35,,40503.0267025,25525.2,,22721.25678
2016-04-24 21:00:00,-9998.134,,-8899.8389801,0.89015,,20000,,17803,0,,0,29974.28,,26681.605342,45501.35,,40503.0267025,25525.2,,22721.25678
2016-04-25 21:00:00,-9998.134,,-8899.8389801,0.89015,,20000,,17803,0,,0,29974.28,,26681.605342,45501.35,,40503.0267025,25525.2,,22721.25678
2016-04-26 21:00:00,-9998.134,,-8872.24413026,0.88739,,20000,,17747.8,0,,0,29974.28,,26598.8763292,46062.1,,40875.046919,26085.95,,23148.4111705
2016-04-27 21:00:00,-9998.134,,-8848.64853402,0.88503,,20000,,17700.6,0,,0,29974.28,,26528.1370284,46515.4,,41167.524462,26539.25,,23488.0324275
2016-04-28 21:00:00,-9998.134,,-8825.25290046,0.88269,,20000,,17653.8,0,,0,29974.28,,26457.9972132,45911.88,,40525.9573572,25935.73,,22893.2095137
2016-04-29 21:00:00,-9998.134,,-8804.3568004,0.8806,,20000,,17612,0,,0,29974.28,,26395.350968,43660.34,,38447.295404,23684.19,,20856.297714
2016-04-30 21:00:00,-9998.134,,-8722.07215758,0.87237,,20000,,17447.4,0,,0,29974.28,,26148.6626436,44185.61,,38546.2005957,24209.46,,21119.6066202
2016-05-01 21:00:00,-9998.134,,-8722.07215758,0.87237,,20000,,17447.4,0,,0,29974.28,,26148.6626436,44185.61,,38546.2005957,24209.46,,21119.6066202
2016-05-02 21:00:00,-9998.134,,-8722.07215758,0.87237,,20000,,17447.4,0,,0,29974.28,,26148.6626436,44185.61,,38546.2005957,24209.46,,21119.6066202
2016-05-03 21:00:00,-9998.134,,-8675.18090912,0.86768,,20000,,17353.6,0,,0,29974.28,,26008.0832704,42759.3,,37101.389424,22783.15,,19768.483592
2016-05-04 21:00:00,-19998.179,,-17383.61707754,0.86926,,20000,,17385.2,0,,0,39966.38,,34741.1754788,44866.04,,39000.2539304,24897.84,,21642.6963984
2016-05-05 21:00:00,-29997.789,,-26100.77623101,0.87009,,20000,,17401.8,0,,0,49958.04,,43467.9910236,58286.72,,50714.6922048,38326.47,,33347.4782823
2016-05-06 21:00:00,-35267.789,,-30920.32864997,0.87673,,20000,,17534.6,0,,0,55228.04,,48420.0795092,79637.01,,69820.1557773,59676.76,,52320.4057948
2016-05-07 21:00:00,-45268.98,,-39751.5967176,0.87812,,20000,,17562.4,0,,0,65221.28,,57272.1103936,88156.12,,77411.6520944,68203.82,,59891.1384184
2016-05-08 21:00:00,-45268.98,,-39751.5967176,0.87812,,20000,,17562.4,0,,0,65221.28,,57272.1103936,88156.12,,77411.6520944,68203.82,,59891.1384184
2016-05-09 21:00:00,-45268.98,,-39751.5967176,0.87812,,20000,,17562.4,0,,0,65221.28,,57272.1103936,88156.12,,77411.6520944,68203.82,,59891.1384184
2016-05-10 21:00:00,-45268.98,,-39751.5967176,0.87812,,20000,,17562.4,0,,0,65221.28,,57272.1103936,90151.76,,79164.0634912,70199.46,,61643.5498152
2016-05-11 21:00:00,-45268.98,,-39799.1291466,0.87917,,20000,,17583.4,0,,0,65221.28,,57340.5927376,87954.18,,77326.6764306,68001.88,,59785.2128396
2016-05-12 21:00:00,-45268.98,,-39615.7897776,0.87512,,20000,,17502.4,0,,0,65221.28,,57076.4465536,87462.77,,76540.4192824,67510.47,,59079.7625064
2016-05-13 21:00:00,-45268.98,,-39790.0753506,0.87897,,20000,,17579.4,0,,0,65221.28,,57327.5484816,87248.96,,76689.2183712,67296.66,,59151.7452402
2016-05-14 21:00:00,-45268.98,,-40001.0287974,0.88363,,20000,,17672.6,0,,0,65221.28,,57631.4796464,88076.28,,77826.8432964,68123.98,,60196.3924474
2016-05-15 21:00:00,-45268.98,,-40001.0287974,0.88363,,20000,,17672.6,0,,0,65221.28,,57631.4796464,88076.28,,77826.8432964,68123.98,,60196.3924474
2016-05-16 21:00:00,-45268.98,,-40001.0287974,0.88363,,20000,,17672.6,0,,0,65221.28,,57631.4796464,88076.28,,77826.8432964,68123.98,,60196.3924474
2016-05-17 21:00:00,-45268.98,,-40004.197626,0.8837,,20000,,17674,0,,0,65221.28,,57636.045136,88914.66,,78573.885042,68962.36,,60942.037532
2016-05-18 21:00:00,-45268.98,,-40004.197626,0.8837,,20000,,17674,0,,0,65221.28,,57636.045136,90659.54,,80115.835498,70707.24,,62483.987988
2016-05-19 21:00:00,-45268.98,,-40336.0192494,0.89103,,20000,,17820.6,0,,0,65221.28,,58114.1171184,90369.16,,80521.6326348,70416.86,,62743.5347658
2016-05-20 21:00:00,-45268.98,,-40397.1323724,0.89238,,20000,,17847.6,0,,0,65221.28,,58202.1658464,92367.94,,82427.3022972,72415.64,,64622.2688232
2016-05-21 21:00:00,-45268.98,,-40340.5461474,0.89113,,20000,,17822.6,0,,0,65221.28,,58120.6392464,92185.38,,82149.1576794,72233.08,,64369.0645804
2016-05-22 21:00:00,-45268.98,,-40340.5461474,0.89113,,20000,,17822.6,0,,0,65221.28,,58120.6392464,92185.38,,82149.1576794,72233.08,,64369.0645804
2016-05-23 21:00:00,-45268.98,,-40340.5461474,0.89113,,20000,,17822.6,0,,0,65221.28,,58120.6392464,92185.38,,82149.1576794,72233.08,,64369.0645804
2016-05-24 21:00:00,-45268.98,,-40360.9171884,0.89158,,20000,,17831.6,0,,0,65221.28,,58149.9888224,97238.81,,86696.1782198,77286.51,,68907.1065858
2016-05-25 21:00:00,-45268.98,,-40643.8483134,0.89783,,20000,,17956.6,0,,0,65221.28,,58557.6218224,97381.04,,87431.6191432,77428.74,,69517.8456342
2016-05-26 21:00:00,-45268.98,,-40567.3437372,0.89614,,20000,,17922.8,0,,0,65221.28,,58447.3978592,95829.57,,85876.7108598,75877.27,,67996.6567378
2016-05-27 21:00:00,-45268.98,,-40447.3809402,0.89349,,20000,,17869.8,0,,0,65221.28,,58274.5614672,95852.83,,85643.5450767,75900.53,,67816.3645497
2016-05-28 21:00:00,-45268.98,,-40746.1562082,0.90009,,20000,,18001.8,0,,0,65221.28,,58705.0219152,95697.82,,86136.6508038,75745.52,,68177.7850968
2016-05-29 21:00:00,-45268.98,,-40746.1562082,0.90009,,20000,,18001.8,0,,0,65221.28,,58705.0219152,95697.82,,86136.6508038,75745.52,,68177.7850968
2016-05-30 21:00:00,-45268.98,,-40746.1562082,0.90009,,20000,,18001.8,0,,0,65221.28,,58705.0219152,95697.82,,86136.6508038,75745.52,,68177.7850968
2016-05-31 21:00:00,-45268.98,,-40605.8223702,0.89699,,20000,,17939.8,0,,0,65221.28,,58502.8359472,95697.82,,85839.9875618,75745.52,,67942.9739848
2016-06-01 21:00:00,-45268.98,,-40651.0913502,0.89799,,20000,,17959.8,0,,0,65221.28,,58568.0572272,96332.52,,86505.6396348,76380.22,,68588.6737578
2016-06-02 21:00:00,-45268.98,,-40458.2454954,0.89373,,20000,,17874.6,0,,0,65221.28,,58290.2145744,97250.53,,86915.7161769,77298.23,,69083.7470979
2016-06-03 21:00:00,-45268.98,,-40592.694366,0.8967,,20000,,17934,0,,0,65221.28,,58483.921776,96009.83,,86092.014561,76057.53,,68200.787151
2016-06-04 21:00:00,-45268.98,,-39881.0660004,0.88098,,20000,,17619.6,0,,0,65221.28,,57458.6432544,97035.93,,85486.7136114,77083.63,,67909.1363574
2016-06-05 21:00:00,-45268.98,,-39881.0660004,0.88098,,20000,,17619.6,0,,0,65221.28,,57458.6432544,97035.93,,85486.7136114,77083.63,,67909.1363574
2016-06-06 21:00:00,-45268.98,,-39881.0660004,0.88098,,20000,,17619.6,0,,0,65221.28,,57458.6432544,97035.93,,85486.7136114,77083.63,,67909.1363574
2016-06-07 21:00:00,-45268.98,,-39835.3443306,0.87997,,20000,,17599.4,0,,0,65221.28,,57392.7697616,97969.26,,86210.0097222,78016.96,,68652.5842912
