request date,EUR cash balance,Total cash balance in EUR,EUR-EUR exchange rate,EUR deposits,Total deposits in EUR,EUR withdrawals,Total withdrawals in EUR,EUR investments,Total investment in EUR,Market value of the EUR investments,Total market value in EUR,P/L in EUR,Total P/L in EUR
2016-03-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-03-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-04-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-05-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-06-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-07-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-08-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-09-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-10-31 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-11-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-01 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-02 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-03 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-04 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-05 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-06 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-07 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-08 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-09 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-10 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-11 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-12 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-13 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-14 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-15 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-16 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-17 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-18 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-19 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-20 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-21 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-22 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-23 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-24 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-25 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-26 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-27 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-28 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-29 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-30 21:00:00,,0,,,0,,0,,0,,0,,0
2016-12-31 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-01 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-02 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-03 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-04 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-05 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-06 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-07 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-08 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-09 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-10 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-11 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-12 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-13 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-14 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-15 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-16 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-17 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-18 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-19 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-20 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-21 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-22 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-23 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-24 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-25 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-26 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-27 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-28 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-29 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-30 21:00:00,,0,,,0,,0,,0,,0,,0
2017-01-31 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-01 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-02 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-03 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-04 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-05 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-06 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-07 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-08 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-09 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-10 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-11 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-12 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-13 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-14 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-15 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-16 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-17 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-18 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-19 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-20 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-21 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-22 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-23 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-24 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-25 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-26 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-27 21:00:00,,0,,,0,,0,,0,,0,,0
2017-02-28 21:00:00,,0,,,0,,0,,0,,0,,0
2017-03-01 21:00:00,,0,,,0,,0,,0,,0,,0
2017-03-02 21:00:00,,0,,,0,,0,,0,,0,,0
2017-03-03 21:00:00,,0,,,0,,0,,0,,0,,0
2017-03-04 21:00:00,,0,,,0,,0,,0,,0,,0
